attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1962-09-02,ITALY,Tyrrhenian Sea,"Circeo, Secca del Quadro",Spearfishing with Scuba gear,M,Y
1962-08-30,TURKEY,Antalya Province,Ucagiz,Unknown,M,N
1962-12-09,AUSTRALIA,South Australia,Carrickalinga Head,Spearfishing,M,Y
1962-12-01,SOUTH AFRICA,Western Cape Province,Swartklip,Fishing,Unknown,N
1962-11-29,AUSTRALIA,New South Wales,Sydney,"Spearfishing, Scuba diving",M,N
1962-11-25,AUSTRALIA,Queensland,Townsville,Unknown,M,Unknown
1962-11-11,USA,California,Farallon Islands,Spearfishing / Scuba diving (at surface),M,N
1962-11-10,AUSTRALIA,New South Wales,Off Kisma,Fishing,Unknown,N
1962-11-01,MID ATLANTIC OCEAN,Unknown,Off Bermuda,Abandoning burning ship Captain George in raging seas,M,N
1962-10-28,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,Spearfishing,M,N
1962-08-30,PAPUA NEW GUINEA,Northern District,Kufulu Point,Fishing,M,N
1962-10-25,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Wading,M,Y
1962-10-14,AUSTRALIA,South Australia,Port Phillip Bay,Adrift after wave swamped engine,M,N
1962-10-06,USA,California,2 miles off Santa Catalina Island,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,Unknown
1962-10-01,PANAMA,Pinas Bay,Unknown,Sitting in shallows,M,Y
1962-09-30,BRITISH WEST INDIES,Grand Turk Island,Long Cay,Spearfishing,M,N
1962-09-22,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Swimming,M,N
1962-09-13,SOUTH ATLANTIC OCEAN,Off coast of West Africa,Off the passenger liner Stirling Castle,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,Y
1962-06-10,PAPUA NEW GUINEA,Madang Province,"Mouth of Suareng River, a mile from Taludig",Washing,M,Y
1962-08-31,ISRAEL,Sharon,2 km north of Apollonia,Fishing,M,Unknown
1962-10-15,ADMIRALTY ISLANDS,Manus Island,Sisi  (west coast of island),Unknown,M,N
1962-06-10,USA,South Carolina,"Hilton Head, Beaufort County",Standing,M,N
1962-12-30,SOUTH AFRICA,KwaZulu-Natal,Shark tank at Oceanographic Research Institute,Scuba diving,M,N
1962-06-04,USA,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",M,N
1962-01-16,NEW ZEALAND,South Island,"Pigeon Bay, Canterbury",Fishing,Unknown,N
1962-01-15,NEW ZEALAND,North Island,"Slipper Island, Coromandel Peninsula",Spearfishing,M,N
1962-01-14,USA,California,Farallon Islands,Spearfishing / Scuba diving (at surface),M,N
1962-01-14,AUSTRALIA,New South Wales,"Long Reef, North Manly",Spearfishing,Unknown,N
1962-01-14,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,M,N
1962-01-11,AUSTRALIA,South Australia,Marino,Fishing,Unknown,N
1962-01-11,PAPUA NEW GUINEA,"10�S, 142�E",Jukuataia Village,Spearfishing,M,N
1962-01-11,NEW ZEALAND,South Island,"Fairdown Beach, 5 miles north of Westport",Surf fishing,F,N
1962-01-18,SOUTH AFRICA,KwaZulu-Natal,Margate,"Fishing, slipped on rocks & fell into sea",M,Unknown
1962-01-10,AUSTRALIA,South Australia,Ceduna,Fishing for sharks,Unknown,N
1962-01-07,AUSTRALIA,Queensland,Dicky Beach,Rowing,Unknown,N
1962-01-07,AUSTRALIA,New South Wales,Sydney,Surfing,Unknown,N
1962-01-02,AUSTRALIA,New South Wales,"Seaspray, near Sale",Fishing,Unknown,N
1962-01-01,MARSHALL ISLANDS,Kwajalein Atoll,Roi-namur Island,Fishing with hand net in 2' of water,M,N
1962-01-01,SPAIN,Catalonia,Aigua Blava,Dangling feet in the water,F,N
1962-01-01,INDONESIA,East Flores,Waewerang,Unknown,Unknown,Y
1962-01-01,AUSTRALIA,South Australia,Dangerous Reef,Diving,M,N
1962-06-07,AUSTRALIA,Western Australia,Emu Point,Fishing,Unknown,N
1962-01-08,AUSTRALIA,New South Wales,Lake Illawarra,Swimming,M,Unknown
1962-01-21,AUSTRALIA,New South Wales,Cronulla,Spearfishing,M,N
1962-01-06,SOUTH AFRICA,Western Cape Province,6 km off Groot Brak River,Fishing,Unknown,N
1962-01-27,NEW ZEALAND,South Island,Oreti Beach,Splashing ,M,N
1962-01-26,MOZAMBIQUE,Gaza,Praia Sepulveda,Unknown,M,Unknown
1962-06-03,USA,Florida,"Riviera Beach, near Palm Beach Inlet, Palm Beach County",Free diving,M,N
1962-05-29,USA,Florida,"Jupiter, Palm Beach County",Unknown,M,N
1962-05-12,USA,California,"8 miles off Newport Beach, Orange County",25-foot cabin cruiser Happy Jack sank in heavy seas,Unknown,Y
1962-05-01,FIJI,Viti Levu,Near Suva,Fishing,Unknown,N
1962-04-09,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,N
1962-04-07,SOUTH AFRICA,KwaZulu-Natal,Umhlali,Wading,M,N
1962-04-05,SOUTH AFRICA,Eastern Cape Province,East London,Fishing,Unknown,N
1962-03-25,NEW ZEALAND,"Off the Coromandel Peninsula, North Island",Alderman Islands,Unknown,M,N
1962-04-20,AUSTRALIA,Queensland,Nobbys Beach,Fishing,Unknown,N
1962-03-24,PAPUA NEW GUINEA,Madang,Matukar village ,Swimming,M,Y
1962-02-23,PAPUA NEW GUINEA,Central Province,Fisherman�s Island near Port Moresby,Swimming along a row of nets,M,N
1962-02-18,NEW ZEALAND,Southland,Long Beach,Swimming,M,N
1962-02-15,AUSTRALIA,Queensland,Between Smith�s Rock & Moreton Island,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,N
1962-02-07,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Swimming,M,Y
1962-02-05,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Treading water,M,Y
1962-02-04,AUSTRALIA,Queensland,Greenmount Beach,Swimming,M,N
1962-02-02,NEW ZEALAND,North Island,South of New Plymouth,Fishing,Unknown,Unknown
1962-03-25,AUSTRALIA,New South Wales,Norah Head,Fishing & spearfishing,Unknown,N
1962-02-01,SOLOMON ISLANDS,Guadalcanal Province,"North Coast, Guadalcanal Island",Swimming outside fishing net,M,Y
1963-11-12,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",Testing anti-shark cage,M,N
1963-11-05,PAPUA NEW GUINEA,New Britain,Unknown,Wading,M,N
1963-11-04,PALAU,Western Caroline Islands,Koror,Fishing,M,N
1963-10-16,USA,Florida,"Biltmore Beach, near Panama City","Surf fishing, wading ",M,N
1963-10-15,NORTH PACIFIC OCEAN,Unknown,Unknown,Fishing for sharks,M,N
1963-09-13,AUSTRALIA,New South Wales,Wanda Beach,Surfing,M,N
1963-09-26,USA,Florida,100 miles offshore,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",Unknown,Unknown
1963-09-22,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,Spearing fish,M,Y
1963-09-10,USA,Florida,"Snapper Point Jetty, Miami, Dade County","Spearfishing, pulled shark�s tail",M,N
1963-11-14,AUSTRALIA,Queensland,Mermaid Beach,Catching sharks under government contract,M,N
1963-08-01,DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,"Swimming, when caught in heavy seas",M,Y
1963-09-29,CHILE,Unknown,"El Panul, 12km south of Coquimbo",Spearfishing / free diving,M,Y
1963-11-16,ITALY,Sicily,Off Mondello Lighthouse,Spearfishing,M,N
1963-12-22,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",Helping friend land hooked shark,M,N
1963-11-28,FIJI, Lau Province,"Dravuwalu, Totoya Island",Fishing,F,N
1963-11-30,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Fishing / standing in waist deep water,F,N
1963-11-30,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",Treading water while alongside capsized yacht,M,N
1963-12-04,NEW BRITAIN,"South Coast, East New Britain",Pomio,Spearfishing,M,Y
1963-12-08,AUSTRALIA,South Australia,55 miles south of Adelaide,Spearfishing,M,N
1963-12-20,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing in surf,M,Y
1963-12-20,SOUTH AFRICA,Western Cape Province,Hartenbos,Spearfishing,M,N
